Tid (s)            Posisjon (m) 
0.0        0.0
0.01001001001        6.01201802403e-05
0.02002002002        0.000240480720961
0.03003003003        0.000541081622163
0.04004004004        0.000961922883845
0.0500500500501        0.00150300450601
0.0600600600601        0.00216432648865
0.0700700700701        0.00294588883177
0.0800800800801        0.00384769153538
0.0900900900901        0.00486973459946
0.1001001001        0.00601201802403
0.11011011011        0.00727454180908
0.12012012012        0.0086573059546
0.13013013013        0.0101603104606
0.14014014014        0.0117835553271
0.15015015015        0.0135270405541
0.16016016016        0.0153907661415
0.17017017017        0.0173747320894
0.18018018018        0.0194789383979
0.19019019019        0.0217033850667
0.2002002002        0.0240480720961
0.21021021021        0.026512999486
0.22022022022        0.0290981672363
0.23023023023        0.0318035753471
0.24024024024        0.0346292238184
0.25025025025        0.0375751126502
0.26026026026        0.0406412418424
0.27027027027        0.0438276113952
0.28028028028        0.0471342213084
0.29029029029        0.0505610715821
0.3003003003        0.0541081622163
0.31031031031        0.0577754932109
0.32032032032        0.0615630645661
0.33033033033        0.0654708762817
0.34034034034        0.0694989283578
0.35035035035        0.0736472207944
0.36036036036        0.0779157535914
0.37037037037        0.082304526749
0.38038038038        0.086813540267
0.39039039039        0.0914427941455
0.4004004004        0.0961922883845
0.41041041041        0.101062022984
0.42042042042        0.106051997944
0.43043043043        0.111162213264
0.44044044044        0.116392668945
0.45045045045        0.121743364987
0.46046046046        0.127214301388
0.47047047047        0.132805478151
0.48048048048        0.138516895274
0.49049049049        0.144348552757
0.500500500501        0.150300450601
0.510510510511        0.156372588805
0.520520520521        0.16256496737
0.530530530531        0.168877586295
0.540540540541        0.175310445581
0.550550550551        0.181863545227
0.560560560561        0.188536885234
0.570570570571        0.195330465601
0.580580580581        0.202244286328
0.590590590591        0.209278347416
0.600600600601        0.216432648865
0.610610610611        0.223707190674
0.620620620621        0.231101972844
0.630630630631        0.238616995374
0.640640640641        0.246252258264
0.650650650651        0.254007761515
0.660660660661        0.261883505127
